COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
BCI,0.1343832747950097,0.0685582644,0.0658250103950097
ENTEL,0.07022274167599223,0.0080631094,0.06215963227599222
QUINENCO,0.07966234168326451,0.0179841004,0.06167824128326451
MERCADOLIBRE,0.05241823397995229,0,0.05241823397995229
ANTARCHILE,0.04731727648399646,0,0.04731727648399646
NORTEGRANDE,0.03754105518448717,0,0.03754105518448717
ENEL GENERACION CHILE,0.027383920795532604,0,0.027383920795532604
COLBUN,0.038967105537765036,0.0142297579,0.024737347637765035
CMPC,0.0450965094549378,0.0217069523,0.023389557154937804
FORUS,0.019923747408061878,0,0.019923747408061878
CCU,0.02584135899310879,0.0103867,0.015454658993108791
EMBOTELLADORA ANDINA,0.03599177447147407,0.0222626559,0.013729118571474071
SOQUIMICH,0.15050902951117023,0.1421083077,0.008400721811170242
SMU,0,0.0058430589,-0.0058430589
CONCHA Y TORO,0,0.006280127,-0.006280127
CAP,0,0.0064453335,-0.0064453335
RIPLEY,0,0.0067667688,-0.0067667688
INVERSIONES AGUAS METROPOLITANAS,0,0.0076934832,-0.0076934832
SALFACORP,0,0.0079061453,-0.0079061453
ENGIE ENERGIA CHILE,0,0.0088051304,-0.0088051304
INVERSIONES LA CONSTRUCCION,0,0.0100454148,-0.0100454148
VAPORES,0,0.010259415,-0.010259415
AGUAS ANDINAS,0,0.0150490045,-0.0150490045
CENCOSUD SHOPPING,0,0.0176237377,-0.0176237377
MALL PLAZA,0.02643146756765008,0.0463549586,-0.019923491032349923
LATAM AIRLINES,0.061984994293635326,0.0838250475,-0.021840053206364674
ITAUCORP,0,0.0220249416,-0.0220249416
ENEL AMERICAS,0,0.0224788547,-0.0224788547
ENEL CHILE,0,0.0255740927,-0.0255740927
FALABELLA,0.046470023109545816,0.0760584863,-0.02958846319045419
PARQUE ARAUCO,0,0.0370546106,-0.0370546106
COPEC,0,0.0370562267,-0.0370562267
BANCO CHILE,0.07836383966194209,0.1242889429,-0.045925103238057916
BANCO SANTANDER,0.021491305392474066,0.0677999049,-0.04630859950752593
CENCOSUD,0,0.0494664664,-0.0494664664
